ind,          x,        y,    value
  0,          0,        0, 0.0328707
  1,          8,        0, 0.0426944
  2,         16,        0, 0.0573978
  3,         24,        0, 0.0805006
  4,         32,        0, 0.118733
  5,         40,        0, 0.184425
  6,         48,        0, 0.292204
  7,         56,        0, 0.412837
  8,         64,        0, 0.412837
  9,         72,        0, 0.292204
 10,         80,        0, 0.184425
 11,         88,        0, 0.118733
 12,         96,        0, 0.0805006
 13,        104,        0, 0.0573978
 14,        112,        0, 0.0426944
 15,        120,        0, 0.0328707
 16,          0,    0.625, 0.0334724
 17,          8,    0.625, 0.0437151
 18,         16,    0.625, 0.0592579
 19,         24,    0.625, 0.0842078
 20,         32,    0.625, 0.126978
 21,         40,    0.625, 0.205112
 22,         48,    0.625, 0.347779
 23,         56,    0.625, 0.533222
 24,         64,    0.625, 0.533222
 25,         72,    0.625, 0.347779
 26,         80,    0.625, 0.205112
 27,         88,    0.625, 0.126978
 28,         96,    0.625, 0.0842078
 29,        104,    0.625, 0.0592579
 30,        112,    0.625, 0.0437151
 31,        120,    0.625, 0.0334724
 32,          0,     1.25, 0.0340059
 33,          8,     1.25, 0.0446296
 34,         16,     1.25, 0.0609509
 35,         24,     1.25, 0.0876682
 36,         32,     1.25, 0.135014
 37,         40,     1.25,  0.22693
 38,         48,     1.25, 0.415517
 39,         56,     1.25, 0.710914
 40,         64,     1.25, 0.710914
 41,         72,     1.25, 0.415517
 42,         80,     1.25,  0.22693
 43,         88,     1.25, 0.135014
 44,         96,     1.25, 0.0876682
 45,        104,     1.25, 0.0609509
 46,        112,     1.25, 0.0446296
 47,        120,     1.25, 0.0340059
 48,          0,    1.875, 0.0344637
 49,          8,    1.875, 0.0454215
 50,         16,    1.875, 0.0624375
 51,         24,    1.875, 0.0907769
 52,         32,    1.875, 0.142531
 53,         40,    1.875, 0.249003
 54,         48,    1.875, 0.496028
 55,         56,    1.875, 0.984237
 56,         64,    1.875, 0.984237
 57,         72,    1.875, 0.496028
 58,         80,    1.875, 0.249003
 59,         88,    1.875, 0.142531
 60,         96,    1.875, 0.0907769
 61,        104,    1.875, 0.0624375
 62,        112,    1.875, 0.0454215
 63,        120,    1.875, 0.0344637
 64,          0,      2.5, 0.0348389
 65,          8,      2.5, 0.0460755
 66,         16,      2.5,  0.06368
 67,         24,      2.5, 0.0934272
 68,         32,      2.5, 0.149175
 69,         40,      2.5, 0.270014
 70,         48,      2.5, 0.587021
 71,         56,      2.5,  1.42143
 72,         64,      2.5,  1.42143
 73,         72,      2.5, 0.587021
 74,         80,      2.5, 0.270014
 75,         88,      2.5, 0.149175
 76,         96,      2.5, 0.0934272
 77,        104,      2.5,  0.06368
 78,        112,      2.5, 0.0460755
 79,        120,      2.5, 0.0348389
 80,          0,    3.125, 0.0351258
 81,          8,    3.125, 0.0465785
 82,         16,    3.125, 0.0646448
 83,         24,    3.125, 0.0955188
 84,         32,    3.125,  0.15458
 85,         40,    3.125, 0.288256
 86,         48,    3.125,  0.68067
 87,         56,    3.125,  2.13156
 88,         64,    3.125,  2.13156
 89,         72,    3.125,  0.68067
 90,         80,    3.125, 0.288256
 91,         88,    3.125,  0.15458
 92,         96,    3.125, 0.0955188
 93,        104,    3.125, 0.0646448
 94,        112,    3.125, 0.0465785
 95,        120,    3.125, 0.0351258
 96,          0,     3.75, 0.0353196
 97,          8,     3.75,  0.04692
 98,         16,     3.75, 0.0653045
 99,         24,     3.75, 0.096966
100,         32,     3.75, 0.158406
101,         40,     3.75, 0.301851
102,         48,     3.75, 0.761678
103,         56,     3.75,    3.196
104,         64,     3.75,    3.196
105,         72,     3.75, 0.761678
106,         80,     3.75, 0.301851
107,         88,     3.75, 0.158406
108,         96,     3.75, 0.096966
109,        104,     3.75, 0.0653045
110,        112,     3.75,  0.04692
111,        120,     3.75, 0.0353196
112,          0,    4.375, 0.0354173
113,          8,    4.375, 0.0470926
114,         16,    4.375, 0.0656393
115,         24,    4.375, 0.0977062
116,         32,    4.375, 0.160391
117,         40,    4.375, 0.309141
118,         48,    4.375,  0.80987
119,         56,    4.375,  1.65044
120,       56.5,    4.375,  1.82714
121,         57,    4.375,  2.02998
122,       57.5,    4.375,  2.26329
123,         58,    4.375,   2.5319
124,       58.5,    4.375,  2.84098
125,         59,    4.375,  3.19562
126,       59.5,    4.375,  3.60007
127,         60,    4.375,  4.05642
128,       60.5,    4.375,  4.56249
129,         61,    4.375,  5.10878
130,       61.5,    4.375,  5.67505
131,         62,    4.375,  6.22723
132,       62.5,    4.375,  6.71744
133,         63,    4.375,  7.08949
134,       63.5,    4.375,  7.29142
135,         56,  4.41406,  1.66301
136,       56.5,  4.41406,  1.84255
137,         57,  4.41406,  2.04902
138,       57.5,  4.41406,  2.28698
139,         58,  4.41406,  2.56159
140,       58.5,  4.41406,  2.87841
141,         59,  4.41406,  3.24306
142,       59.5,  4.41406,  3.66039
143,         60,  4.41406,  4.13317
144,       60.5,  4.41406,  4.65981
145,         61,  4.41406,  5.23112
146,       61.5,  4.41406,  5.82641
147,         62,  4.41406,  6.40995
148,       62.5,  4.41406,  6.93055
149,         63,  4.41406,  7.32729
150,       63.5,  4.41406,  7.54319
151,         56,  4.45313,  1.67491
152,       56.5,  4.45313,  1.85717
153,         57,  4.45313,  2.06711
154,       57.5,  4.45313,  2.30955
155,         58,  4.45313,  2.58994
156,       58.5,  4.45313,  2.91425
157,         59,  4.45313,  3.28862
158,       59.5,  4.45313,  3.71854
159,         60,  4.45313,  4.20747
160,       60.5,  4.45313,  4.75446
161,         61,  4.45313,  5.35071
162,       61.5,  4.45313,  5.97515
163,         62,  4.45313,  6.59044
164,       62.5,  4.45313,  7.14203
165,         63,  4.45313,  7.56409
166,       63.5,  4.45313,  7.79439
167,         56,  4.49219,  1.68611
168,       56.5,  4.49219,  1.87096
169,         57,  4.49219,  2.08421
170,       57.5,  4.49219,  2.33091
171,         58,  4.49219,  2.61682
172,       58.5,  4.49219,  2.94834
173,         59,  4.49219,   3.3321
174,       59.5,  4.49219,  3.77422
175,         60,  4.49219,   4.2789
176,       60.5,  4.49219,  4.84587
177,         61,  4.49219,  5.46675
178,       61.5,  4.49219,  6.12023
179,         62,  4.49219,  6.39275
180,    62.0313,  4.49219,  6.43228
181,    62.0625,  4.49219,  6.47166
182,    62.0938,  4.49219,  6.51088
183,     62.125,  4.49219,  6.54993
184,    62.1563,  4.49219,  6.58878
185,    62.1875,  4.49219,  6.62742
186,    62.2188,  4.49219,  6.66585
187,      62.25,  4.49219,  6.70403
188,    62.2813,  4.49219,  6.74196
189,    62.3125,  4.49219,  6.77963
190,    62.3438,  4.49219,    6.817
191,     62.375,  4.49219,  6.85408
192,    62.4063,  4.49219,  6.89083
193,    62.4375,  4.49219,  6.92725
194,    62.4688,  4.49219,  6.96331
195,         62,  4.49463,  6.40285
196,    62.0313,  4.49463,  6.44251
197,    62.0625,  4.49463,  6.48201
198,    62.0938,  4.49463,  6.52136
199,     62.125,  4.49463,  6.56053
200,    62.1563,  4.49463,  6.59951
201,    62.1875,  4.49463,  6.63828
202,    62.2188,  4.49463,  6.67683
203,      62.25,  4.49463,  6.71514
204,    62.2813,  4.49463,   6.7532
205,    62.3125,  4.49463,  6.79099
206,    62.3438,  4.49463,  6.82849
207,     62.375,  4.49463,  6.86569
208,    62.4063,  4.49463,  6.90257
209,    62.4375,  4.49463,  6.93911
210,    62.4688,  4.49463,   6.9753
211,         62,  4.49707,  6.41294
212,    62.0313,  4.49707,  6.45272
213,    62.0625,  4.49707,  6.49235
214,    62.0938,  4.49707,  6.53182
215,     62.125,  4.49707,  6.57112
216,    62.1563,  4.49707,  6.61022
217,    62.1875,  4.49707,  6.64912
218,    62.2188,  4.49707,  6.68779
219,      62.25,  4.49707,  6.72623
220,    62.2813,  4.49707,  6.76442
221,    62.3125,  4.49707,  6.80233
222,    62.3438,  4.49707,  6.83996
